score,id
1,gene_1
1,gene_2
0.947586768844101,gene_80
0.605231683559193,gene_115
0.344248766489085,gene_49
0.339057038950128,gene_138
0.329336986251628,gene_93
0.303542497641046,gene_41
0.267231107846155,gene_31
0.26559772859382,gene_160
0.193156778535655,gene_189
0.146029396142466,gene_86
0.143666780279433,gene_84
0.134743859422974,gene_12
0.12579779350007,gene_163
0.0991969918696525,gene_169
0.0942618899866149,gene_52
0.0937773937506878,gene_178
0.0931899172352896,gene_51
0.0832493915097525,gene_180
0.0801588125099284,gene_192
0.0757180307080371,gene_152
0.0751604138478318,gene_196
0.0684157667508156,gene_32
0.0681549641053505,gene_43
0.0627288136591565,gene_114
0.0608725447988186,gene_133
0.0591894469444927,gene_118
0.0586396240741862,gene_65
0.056244892828994,gene_22
0.0534162500328717,gene_127
0.052712520008566,gene_177
0.0503928236469394,gene_149
0.0471855921696658,gene_183
0.0449912362106242,gene_73
0.0446095969268188,gene_109
0.0436100019857154,gene_173
0.0421091071312383,gene_48
0.0420773168273555,gene_15
0.0417130573077415,gene_154
0.0408305860419058,gene_78
0.039318130677785,gene_171
0.0365603253178653,gene_181
0.0361311983504347,gene_14
0.0353080917154559,gene_91
0.0342631961389007,gene_81
0.0336986969796856,gene_87
0.0333484364484682,gene_156
0.0322042596988534,gene_182
0.0295822715916466,gene_107
0.0295440993023109,gene_159
0.0293508064612269,gene_155
0.0285204641697032,gene_29
0.0284971286738559,gene_25
0.0275465372946677,gene_60
0.0272480143124149,gene_193
0.0269278362546028,gene_194
0.0256679868846427,gene_112
0.0256464495456967,gene_92
0.0242864066071128,gene_61
0.0221070939290935,gene_8
0.0215403069153388,gene_134
0.0212100134066023,gene_76
0.0209419244127008,gene_21
0.0201695226136224,gene_75
0.0199473671477026,gene_191
0.0192182138974454,gene_95
0.0183841199284012,gene_113
0.0181563536639634,gene_168
0.0178012398655914,gene_7
0.0172326430543134,gene_110
0.0171767818308631,gene_187
0.0168411907458101,gene_55
0.0168332804988262,gene_67
0.0165475712094912,gene_162
0.0157833516225393,gene_39
0.0152180470530008,gene_131
0.0149135247637991,gene_137
0.0146368361860867,gene_144
0.0145674590413258,gene_63
0.0141814324992487,gene_108
0.0140206280477926,gene_129
0.0139948513458407,gene_4
0.0138688394148052,gene_90
0.0136560377765205,gene_5
0.013519214578834,gene_147
0.0130315582431386,gene_36
0.012858127759704,gene_151
0.0128345182053866,gene_82
0.0128047780031337,gene_105
0.0126249027362001,gene_72
0.0126248495228787,gene_19
0.0124535754173952,gene_170
0.0123365330003366,gene_200
0.0122109656630396,gene_139
0.0122075585081061,gene_20
0.0121683548460256,gene_79
0.0118177552753293,gene_83
0.0112045550283352,gene_42
0.0110869933718508,gene_123
0.0108713856989049,gene_74
0.0107676466750505,gene_24
0.0106832911958737,gene_153
0.0105748573169413,gene_88
0.0104446506235658,gene_165
0.0103048334257131,gene_158
0.0101560485313213,gene_77
0.00999720528654235,gene_17
0.0099808373425652,gene_166
0.00986312325482093,gene_130
0.00978226306083867,gene_188
0.00969604598421608,gene_148
0.00960286350248208,gene_140
0.00927281312199291,gene_146
0.00919713369844351,gene_50
0.00915675125365051,gene_103
0.009084289390184,gene_13
0.0090101789381729,gene_33
0.00895269792714189,gene_116
0.00880061172716225,gene_185
0.00850959544500473,gene_16
0.00849275305563863,gene_38
0.00821707639601151,gene_27
0.00813110543545576,gene_125
0.00798323919857704,gene_6
0.00797415119998758,gene_69
0.00794002739410447,gene_190
0.00793830336445431,gene_68
0.00793689313972356,gene_96
0.00791259638979779,gene_179
0.00786709019114569,gene_71
0.00783350937608835,gene_30
0.00776419550568584,gene_54
0.00769944928728173,gene_124
0.00755697870481274,gene_64
0.00749879846673886,gene_143
0.00739607536277151,gene_172
0.00739379279440582,gene_142
0.00732416238453058,gene_186
0.00716426371083751,gene_85
0.00716022253015658,gene_37
0.00715778787262265,gene_97
0.00713803388375871,gene_157
0.00706124913423148,gene_117
0.00699025628303421,gene_94
0.00683747564491588,gene_119
0.00680124311517166,gene_184
0.00658603463700836,gene_56
0.00655893771832495,gene_70
0.00641501538145531,gene_176
0.00638095914762115,gene_145
0.00636123691185472,gene_62
0.00628560401951888,gene_40
0.00626873575147141,gene_28
0.00621924772851702,gene_126
0.00620363945713436,gene_197
0.00616359469506756,gene_26
0.00615293608895234,gene_102
0.00611355573615529,gene_198
0.0058986675474718,gene_89
0.00562485712719359,gene_57
0.00561400533927037,gene_135
0.00560069881458558,gene_120
0.00556769174180942,gene_23
0.00540037002038074,gene_59
0.00539963824203831,gene_128
0.00538637866858439,gene_100
0.00531886954864974,gene_66
0.00528225493594617,gene_167
0.00524820964736477,gene_199
0.00522025210868729,gene_10
0.00519821532516305,gene_132
0.00513715770579894,gene_34
0.00512581500583456,gene_46
0.00512328818494232,gene_58
0.00509512451742074,gene_174
0.00508338876849895,gene_44
0.00506250513644079,gene_47
0.00502075680516912,gene_121
0.00497184368537364,gene_9
0.00492183558830955,gene_136
0.00490222475239349,gene_35
0.0048972326238335,gene_11
0.00488171165415478,gene_99
0.00486853826203111,gene_45
0.00483892529533871,gene_150
0.00483583702982078,gene_106
0.0048295349666745,gene_3
0.00481740621685999,gene_195
0.00480937864419862,gene_104
0.00479411214815886,gene_175
0.00478769653014055,gene_122
0.00478340179339266,gene_141
0.0047704908395827,gene_164
0.00474389607479142,gene_53
0.00474279582286552,gene_111
0.00474178772834857,gene_98
0.00472418198921841,gene_161
0.00470875779409595,gene_101
0.00470844116627328,gene_18
